project_name,screenshot_url,thumbnail_url,site_url,video_url,date,category,tag,color,site_type
1MD | One Million Dollars,,thumbs1.jpeg,http://www.1md.be/,,,,,,
I2D - Innovation to Design,,thumbs2.jpeg,http://www.i2d.co.il/,,,,,,
Ben David Sandhu,,thumbs3.jpeg,http://www.bendavidsandhu.com/,,,,,,
dpvideoproduction GmbH,,thumbs4.jpeg,http://www.dpvideo.ch/,,,,,,
Vintage Productions,,thumbs5.jpeg,http://vintageproductions.eu/,,,,,,
The Cut,,thumbs6.jpeg,http://thecut.net.au/,,,,,,
YELLO,,thumbs7.jpeg,http://www.yelloistanbul.com/,,,,,,
Your Local Studio,,thumbs8.jpeg,http://yourlocalstudio.dk/,,,,,,
Nick Murphy Design,,thumbs9.jpeg,http://www.nickmurphy.org/,,,,,,
Quechua 2seconds,,http://www.awwwards.com/screenshots/2014/07/53c83c4b04700.jpeg,http://www.quechua.com/2seconds,,,,,,
Cuberto agency,,http://www.awwwards.com/screenshots/2014/07/53c7ffd36a2d2.jpeg,,,,,,,
Stopka Furniture,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/05/537c7daab9134.jpeg,http://stopka.cz/,,,,,,Architecture
Business Park Vienna,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/06/53a45ec768760.jpeg,http://www.postplanjer.nl/,,8-Jul-14,,,,Architecture
Post Planjer,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/06/53a45ec768760.jpeg,http://www.postplanjer.nl/,,,,,,Architecture
Archi Graphi,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/07/53b2664bad9a3.jpeg,http://www.archi-graphi.fr/,,,,,,Architecture
Dock,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/06/5390299184458.jpeg,http://www.dock.cz/en,,,,,,Architecture
Agence Costa,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/06/53a143ff9b03e.jpeg,http://www.agencecosta.com/,,23-Jun-14,,,,Architecture
Google Nightwalk in Marseille,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/06/5391a22c32aa3.jpeg,http://nightwalk.withgoogle.com/,,19-Jun-14,,,,Architecture
Formica Envisualizer TM,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/06/53961795e6619.jpeg,http://envisualizer.formica.com/,,10-Jun-14,,,,Architecture
Ecoactive | Active Ceramic,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/05/537f6d4d588fe.jpeg,http://interactive.active-ceramic.com/,,27-May-14,,,,Architecture
Over the Hills,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/07/53ba92ead136e.jpeg,http://www.overthetinyhills.com/,,14-Jul-14,,,,Music & Sound
Maja & the Jacks,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/07/53b3d24eb925d.jpeg,http://majaandthejacks.com/,,4-Jul-14,,,,
Punk me,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/07/53b511aa506b1.jpeg,http://punk.lemouv.fr/,,3-Jul-14,,,,
W3.ua,,http://www.awwwards.com/media/cache/gallery_three_columns/screenshots/2014/07/53c065a7d6d2d.jpeg,http://w3.ua/,,12-Jul-14,,,,
